trial,num_servos,profit,service_rate,satisfaction_rate,avg_wait_time,cpu_ms,total_customers,served_customers,satisfied_customers
0,1,-637.9999999999985,21.568627450980394,21.568627450980394,29.607843137254903,0.5751748296684034,51,11,11
1,1,-637.9999999999985,21.568627450980394,21.568627450980394,29.607843137254903,0.5341710881718124,51,11,11
2,1,-637.9999999999985,21.568627450980394,21.568627450980394,29.607843137254903,0.5994809520799907,51,11,11
3,1,-637.9999999999985,21.568627450980394,21.568627450980394,29.607843137254903,0.5320132648466206,51,11,11
4,1,-637.9999999999985,21.568627450980394,21.568627450980394,29.607843137254903,0.5527438774473686,51,11,11
5,1,-637.9999999999985,21.568627450980394,21.568627450980394,29.607843137254903,0.5191173472760093,51,11,11
6,1,-637.9999999999985,21.568627450980394,21.568627450980394,29.607843137254903,0.5364901358285463,51,11,11
7,1,-637.9999999999985,21.568627450980394,21.568627450980394,29.607843137254903,0.5486289110132905,51,11,11
8,1,-637.9999999999985,21.568627450980394,21.568627450980394,29.607843137254903,0.5399193883981226,51,11,11
9,1,-637.9999999999985,21.568627450980394,21.568627450980394,29.607843137254903,0.5276091835345934,51,11,11
10,1,-637.9999999999985,21.568627450980394,21.568627450980394,29.607843137254903,0.5176840140167497,51,11,11
11,1,-637.9999999999985,21.568627450980394,21.568627450980394,29.607843137254903,0.570924490627668,51,11,11
12,1,-637.9999999999985,21.568627450980394,21.568627450980394,29.607843137254903,0.5123897951189745,51,11,11
13,1,-637.9999999999985,21.568627450980394,21.568627450980394,29.607843137254903,0.4931836737261223,51,11,11
14,1,-637.9999999999985,21.568627450980394,21.568627450980394,29.607843137254903,0.5060972777143007,51,11,11
15,1,-637.9999999999985,21.568627450980394,21.568627450980394,29.607843137254903,0.5615602031019105,51,11,11
16,1,-637.9999999999985,21.568627450980394,21.568627450980394,29.607843137254903,0.512514964160256,51,11,11
17,1,-637.9999999999985,21.568627450980394,21.568627450980394,29.607843137254903,0.5387333341514641,51,11,11
18,1,-637.9999999999985,21.568627450980394,21.568627450980394,29.607843137254903,0.5043476188815117,51,11,11
19,1,-637.9999999999985,21.568627450980394,21.568627450980394,29.607843137254903,0.5545302730356184,51,11,11
20,1,-637.9999999999985,21.568627450980394,21.568627450980394,29.607843137254903,0.5231346932262004,51,11,11
21,1,-637.9999999999985,21.568627450980394,21.568627450980394,29.607843137254903,0.5307935375671162,51,11,11
22,1,-637.9999999999985,21.568627450980394,21.568627450980394,29.607843137254903,0.5119071431342374,51,11,11
23,1,-637.9999999999985,21.568627450980394,21.568627450980394,29.607843137254903,0.560389456183168,51,11,11
24,1,-637.9999999999985,21.568627450980394,21.568627450980394,29.607843137254903,0.49751904782392464,51,11,11
25,1,-637.9999999999985,21.568627450980394,21.568627450980394,29.607843137254903,0.5023741489197096,51,11,11
26,1,-637.9999999999985,21.568627450980394,21.568627450980394,29.607843137254903,0.5117051022643616,51,11,11
27,1,-637.9999999999985,21.568627450980394,21.568627450980394,29.607843137254903,0.5213826538188713,51,11,11
28,1,-637.9999999999985,21.568627450980394,21.568627450980394,29.607843137254903,0.5425231294274064,51,11,11
29,1,-637.9999999999985,21.568627450980394,21.568627450980394,29.607843137254903,0.5644363935024724,51,11,11
0,2,54.6666666666614,39.21568627450981,39.21568627450981,28.666666666666668,0.756154178883938,51,20,20
1,2,54.6666666666614,39.21568627450981,39.21568627450981,28.666666666666668,0.7095662529159326,51,20,20
2,2,54.6666666666614,39.21568627450981,39.21568627450981,28.666666666666668,0.7414972142355326,51,20,20
3,2,54.6666666666614,39.21568627450981,39.21568627450981,28.666666666666668,0.6957591331820508,51,20,20
4,2,54.6666666666614,39.21568627450981,39.21568627450981,28.666666666666668,0.6801476775979963,51,20,20
5,2,54.6666666666614,39.21568627450981,39.21568627450981,28.666666666666668,0.711882661562413,51,20,20
6,2,54.6666666666614,39.21568627450981,39.21568627450981,28.666666666666668,0.7168439623464372,51,20,20
7,2,54.6666666666614,39.21568627450981,39.21568627450981,28.666666666666668,0.6915226006727585,51,20,20
8,2,54.6666666666614,39.21568627450981,39.21568627450981,28.666666666666668,0.6774736837024048,51,20,20
9,2,54.6666666666614,39.21568627450981,39.21568627450981,28.666666666666668,0.7706693485891014,51,20,20
10,2,54.6666666666614,39.21568627450981,39.21568627450981,28.666666666666668,0.6835538694446174,51,20,20
11,2,54.6666666666614,39.21568627450981,39.21568627450981,28.666666666666668,0.6870547971427268,51,20,20
12,2,54.6666666666614,39.21568627450981,39.21568627450981,28.666666666666668,0.7781749230812393,51,20,20
13,2,54.6666666666614,39.21568627450981,39.21568627450981,28.666666666666668,0.6816535619564712,51,20,20
14,2,54.6666666666614,39.21568627450981,39.21568627450981,28.666666666666668,0.680126935036726,51,20,20
15,2,54.6666666666614,39.21568627450981,39.21568627450981,28.666666666666668,0.7370390096533721,51,20,20
16,2,54.6666666666614,39.21568627450981,39.21568627450981,28.666666666666668,0.6975770898050868,51,20,20
17,2,54.6666666666614,39.21568627450981,39.21568627450981,28.666666666666668,0.6890052630553085,51,20,20
18,2,54.6666666666614,39.21568627450981,39.21568627450981,28.666666666666668,0.7648117648907605,51,20,20
19,2,54.6666666666614,39.21568627450981,39.21568627450981,28.666666666666668,0.6901597521799809,51,20,20
20,2,54.6666666666614,39.21568627450981,39.21568627450981,28.666666666666668,0.6819102172840721,51,20,20
21,2,54.6666666666614,39.21568627450981,39.21568627450981,28.666666666666668,0.7464817341996628,51,20,20
22,2,54.6666666666614,39.21568627450981,39.21568627450981,28.666666666666668,0.677574612272344,51,20,20
23,2,54.6666666666614,39.21568627450981,39.21568627450981,28.666666666666668,0.6820160998125205,51,20,20
24,2,54.6666666666614,39.21568627450981,39.21568627450981,28.666666666666668,0.6817321973526994,51,20,20
25,2,54.6666666666614,39.21568627450981,39.21568627450981,28.666666666666668,0.742852322370875,51,20,20
26,2,54.6666666666614,39.21568627450981,39.21568627450981,28.666666666666668,0.6996232190172277,51,20,20
27,2,54.6666666666614,39.21568627450981,39.21568627450981,28.666666666666668,0.7172173368290424,51,20,20
28,2,54.6666666666614,39.21568627450981,39.21568627450981,28.666666666666668,0.6950501547715462,51,20,20
29,2,54.6666666666614,39.21568627450981,39.21568627450981,28.666666666666668,0.750968110749077,51,20,20
0,3,1040.0,62.745098039215684,62.745098039215684,27.941176470588236,0.9496577415472618,51,32,32
1,3,1040.0,62.745098039215684,62.745098039215684,27.941176470588236,1.014033869855226,51,32,32
2,3,1040.0,62.745098039215684,62.745098039215684,27.941176470588236,0.9228974191148975,51,32,32
3,3,1040.0,62.745098039215684,62.745098039215684,27.941176470588236,1.861696774158777,51,32,32
4,3,1040.0,62.745098039215684,62.745098039215684,27.941176470588236,1.183757096652933,51,32,32
5,3,1040.0,62.745098039215684,62.745098039215684,27.941176470588236,1.2644335475464863,51,32,32
6,3,1040.0,62.745098039215684,62.745098039215684,27.941176470588236,1.1359983881477327,51,32,32
7,3,1040.0,62.745098039215684,62.745098039215684,27.941176470588236,1.0217806447349909,51,32,32
8,3,1040.0,62.745098039215684,62.745098039215684,27.941176470588236,1.0848377422887772,51,32,32
9,3,1040.0,62.745098039215684,62.745098039215684,27.941176470588236,1.3045022572999099,51,32,32
10,3,1040.0,62.745098039215684,62.745098039215684,27.941176470588236,1.1318603217894692,51,32,32
11,3,1040.0,62.745098039215684,62.745098039215684,27.941176470588236,1.2052774197429479,51,32,32
12,3,1040.0,62.745098039215684,62.745098039215684,27.941176470588236,1.2474509682731643,51,32,32
13,3,1040.0,62.745098039215684,62.745098039215684,27.941176470588236,0.9844351607757891,51,32,32
14,3,1040.0,62.745098039215684,62.745098039215684,27.941176470588236,1.1754032253520563,51,32,32
15,3,1040.0,62.745098039215684,62.745098039215684,27.941176470588236,1.0313564504031092,51,32,32
16,3,1040.0,62.745098039215684,62.745098039215684,27.941176470588236,1.0425525806626426,51,32,32
17,3,1040.0,62.745098039215684,62.745098039215684,27.941176470588236,1.0276841944188722,51,32,32
18,3,1040.0,62.745098039215684,62.745098039215684,27.941176470588236,0.9788261298390646,51,32,32
19,3,1040.0,62.745098039215684,62.745098039215684,27.941176470588236,1.0397729035767336,51,32,32
20,3,1040.0,62.745098039215684,62.745098039215684,27.941176470588236,0.9938067735938896,51,32,32
21,3,1040.0,62.745098039215684,62.745098039215684,27.941176470588236,1.0414874188662055,51,32,32
22,3,1040.0,62.745098039215684,62.745098039215684,27.941176470588236,1.0348096764045618,51,32,32
23,3,1040.0,62.745098039215684,62.745098039215684,27.941176470588236,1.0279196761398306,51,32,32
24,3,1040.0,62.745098039215684,62.745098039215684,27.941176470588236,0.9920990322678981,51,32,32
25,3,1040.0,62.745098039215684,62.745098039215684,27.941176470588236,1.0536325798790542,51,32,32
26,3,1040.0,62.745098039215684,62.745098039215684,27.941176470588236,0.9669525809811368,51,32,32
27,3,1040.0,62.745098039215684,62.745098039215684,27.941176470588236,0.9729758062730393,51,32,32
28,3,1040.0,62.745098039215684,62.745098039215684,27.941176470588236,1.0392296767320424,51,32,32
29,3,1040.0,62.745098039215684,62.745098039215684,27.941176470588236,1.0325719357370549,51,32,32
